"PGA","PGV","Sa(T1)","Es","nu","rho","xi","c","phi","Ec","fy","tseg","mu","moment_ratio","diameter_strain_rate"
"0.64386444","0.082929774","0.849916999","53566265.6732109","0.44689286379155085","1814.8665774428323","0.06639407126295106","35787.175425399866","9.766506903538742","30209069317.25777","0.006065393617102411","0.35439534792281585","0.6009261140042973","2.210534376897169","2.8000505727647713"
"0.32942847","0.022812144","0.276141207","63595510.67188011","0.43580883298783074","1954.7178500681161","0.04615746057875125","29073.90757648957","11.747418412000181","28499811215.78211","0.005891982650460976","0.35127272748657173","0.5960652834540391","0.6708224065935663","0.7598379858439257"
"0.72619099","0.104497071","0.90975933","62915989.873303376","0.4396706711123801","1819.3524052038342","0.059249016713917926","27742.110402720347","11.868079431109482","29356747562.425606","0.005931482811143441","0.3502075273229371","0.5978014496394233","2.3112937860317877","3.620347410957603"
"1.1201187","0.117100182","1.948967818","56603536.099879876","0.4295695050917202","1989.4249316263486","0.04719638730586502","30705.64499541543","13.09332679134855","33735160266.350376","0.005843692082185073","0.3563069567101915","0.6059130550961824","2.752753509228543","4.238952858398788"
"0.55782949","0.048169742","0.710555561","68499353.3711468","0.4120679514057271","2071.8579607837646","0.030602655968257158","33078.137114924924","14.35345204516672","33597429711.125565","0.005681381031547641","0.3471048830554964","0.603602066911707","2.3086491603702584","1.8524690286679888"
"0.7352948","0.073422525","0.69157248","67774043.70848851","0.4458613090671972","2085.3315629142962","0.03316464452983409","35484.20079260039","10.262878189867024","40786090466.89979","0.006312183702055991","0.3482027082617876","0.5945101696412687","2.2097330988657817","4.350826855250303"
"0.59622207","0.088092522","1.216756489","63502720.69942009","0.4338378213003282","2040.7793545244876","0.04053215306841844","34650.58292564706","11.276128951129863","39088298206.60242","0.00629856794452141","0.3514014067122622","0.6012576452497729","2.058164742655132","3.1626411051302274"
"0.19529905","0.014348133","0.104975836","59223969.517652765","0.4163358069602473","2036.5808594532805","0.03959088806573055","31085.40684162379","12.811388513744358","37765138762.15285","0.00583054651824633","0.3509447630396027","0.6032391129446006","0.3859191415418688","0.30261458255826346"
"0.57861023","0.110024183","0.985920804","59577814.415532246","0.4385244038499099","1977.2760709370712","0.04285586812888996","34104.7784339112","10.191295140788393","29742988363.36893","0.005504435270752108","0.3503835886597874","0.5970741786151388","2.510351513665208","4.439110529808433"
"0.71205253","0.097932924","1.183802635","54894095.607091784","0.4191461052919953","1913.6065148346438","0.04236579142952781","32304.80822016926","11.030153978713509","34729649542.34535","0.006434718410501352","0.3439281855440039","0.6000468874682248","2.387756388426995","5.824579358545931"
"0.26971395","0.029062462","0.270586123","65032668.52490328","0.4422791924177511","1922.7396029893173","0.0347412383887387","30424.47878863559","12.743806901245197","33902994025.30538","0.006537313595156434","0.35027939707095507","0.600668173995859","0.6851653356140299","1.0095113558380042"
"0.56521906","0.064793937","0.677610182","63764149.78995731","0.4130692794148396","2005.0973003941458","0.0405079793665693","31987.54562349961","13.527254815619798","35455566286.45885","0.006480784267927808","0.3467119934512531","0.6036153456402351","2.006435966133407","2.139400600463963"
"0.68459149","0.082423902","1.854764068","52285281.264595665","0.434334233635439","1948.1014495285635","0.06395885999115622","29656.79185596875","10.0309800273724","28943233930.4485","0.005704581643663608","0.3438977861464946","0.596166720599964","2.162962535943849","2.385327289611686"
"1.4677276","0.145457038","1.014310567","51156833.13355089","0.41474354308483363","1950.8900155324206","0.061310782668024366","24594.72169110573","12.467823387787945","29597281654.794765","0.0063580003490673","0.3439305790741561","0.6011207133794358","1.9537691498340528","5.176926369319109"
"0.43372576","0.09237981","0.986484573","62358203.09364972","0.41754613965273724","2058.9595026399966","0.0496183183752906","27432.87216033695","13.0030237865161","30942970442.107918","0.005903332715903963","0.3474513038379967","0.597023016149396","2.0939794036902066","4.223492691178245"
"0.11677294","0.012777541","0.196888892","63251565.135645874","0.4446691533523027","1975.3599369264573","0.06821909427968374","33029.86411015525","10.048152236586855","34293306838.885864","0.005842509699545825","0.35397105410039914","0.5954653197166525","0.1684706922723651","0.48129520636370693"
"0.65447945","0.047035821","0.554135814","58589527.308509335","0.42210586203658407","1954.8756248167126","0.04931903848157428","34476.67187110507","10.122675918239526","33253173660.11061","0.006441523839835025","0.3438542147819816","0.5954059602877702","2.3378457492495515","1.6671451432932063"
"0.66196639","0.108597111","0.987915724","60473634.62804143","0.42947046160695035","2106.827864920137","0.06770193187398023","28540.902322221944","11.261385034642645","31487236045.7653","0.005445503880062047","0.3468614730970464","0.5961409324708651","2.5862342803866443","4.236555605647959"
"0.78187851","0.084552582","1.425538683","64726502.18930604","0.41447840729374663","1933.4641817382626","0.05401689498141794","32321.38128635673","12.030034214917302","32119695124.624496","0.005873705229419119","0.35533743034854537","0.5993926849793884","2.4005014754738774","3.319420812584513"
"0.77563673","0.093415819","1.432058339","59336115.73872542","0.4189821179360863","1878.700779351336","0.04310732974911006","35596.10325727513","9.904635564269991","41163370000.42784","0.006159817697302524","0.34722901651796556","0.5953873739219321","2.4800985696588422","2.5329646307325535"
"0.4311005","0.058189381","0.349096102","60362388.67934053","0.4413805640165713","2113.5795481877744","0.03216525661750281","35724.58208533388","10.15869411825916","27703103284.558933","0.005664758532898379","0.35498980890374165","0.5997541208753471","1.2757961429898872","2.23461532037268"
"0.56083854","0.069891209","0.826677209","57588458.691508956","0.43349972409357157","2024.876672827771","0.05972899522656444","34922.23129438936","10.569279565260443","31187326362.119648","0.005972068295979236","0.3487967200755685","0.6040351763903942","1.8195144908362721","3.2062698866099035"
"0.85303493","0.0657431","0.658625004","61265700.21672127","0.4507143553268722","1967.5331568372565","0.056132196235288874","32943.65222596194","10.16352067045845","30481667421.052315","0.005660041795802647","0.35368406927567225","0.5981208877198111","2.0794875510779494","1.8345439274401416"
"0.10338495","0.01898099","0.179587368","65867907.91783807","0.43102893377317747","1990.6971078582146","0.048477546922236034","34125.95757754644","11.916446305356347","29940117983.91592","0.005528010381472314","0.3492282014011274","0.602629086029235","0.21329933437060603","0.8032688679721802"
"0.46999034","0.077595772","0.811865909","59608352.85079956","0.4314229159575701","1936.6956409477727","0.05812627249491242","29088.73154570459","11.181029034202036","31698884836.14248","0.006463995868758448","0.35609881961425294","0.596685473653827","2.251381978675652","3.656482896637544"
